urlid,URL,Label, Source IP, Source Port, Destination IP, Destination Port, Timestamp,Results
192.229.163.180-10.42.0.42-443-52283-6,kuncorporation.com/chinamex/Paypal_Virefication/,cyber attack,10.42.0.211,6488,10.42.0.1,53,2022-09-28T00:22:34,1
180.149.138.210-10.42.0.211-80-40262-6,kuncorporation.com/chinamex/Paypal_Virefication/ea293d014b1b4043963f9ec25e196b90/details.php?cmd=_account,cyber attack,10.42.0.151,43507,72.21.206.121,443,2022-09-27T23:45:00,1
10.42.0.211-10.42.0.1-60774-53-17,www.stadtundland-nrw.de/includes/js/calendar/SodexoPass/,cyber attack,10.42.0.211,59288,172.217.12.170,443,2022-09-27T23:26:40,1
10.42.0.211-10.42.0.1-40754-53-17,kuncorporation.com/Paypal_Virefication/515755e0e3a16e25fa1bfd9cdf0077fd/,cyber attack,10.42.0.211,38742,182.22.25.252,443,2022-09-27T23:08:41,1
10.42.0.211-72.21.207.148-42355-443-6,kuncorporation.com/Paypal_Virefication/,cyber attack,10.42.0.211,7511,10.42.0.1,53,2022-09-27T22:30:27,1
216.58.219.227-10.42.0.151-443-56610-6,creativess.org/mylife/wp-content/themes/sportpress/functions/cadastro1.php,cyber attack,10.42.0.151,40259,216.58.219.227,443,2022-09-27T22:13:24,1
208.80.154.224-10.42.0.211-443-34709-6,www.jcsykes.co.uk/images/PHP/index.php?action=add&amp;username=John,cyber attack,10.42.0.211,49294,174.35.73.148,80,2022-09-27T21:35:28,1
10.42.0.42-31.13.80.37-36411-443-6,www.posware.net/customer/update.html,cyber attack,10.42.0.211,37925,98.139.180.180,443,2022-09-27T21:25:31,1
192.229.173.173-10.42.0.211-443-58665-6,'www.jcsykes.co.uk/images/PHP/index.php?action=add&amp;username=John\%20Doe&amp;password=VFMPP-Q9XKX-96XF6-XR49R-YVYWD&amp;app=Windows\%20XP\%20x86&amp;pcname=',cyber attack,10.42.0.151,52648,172.217.12.142,443,2022-09-27T21:08:22,1
10.42.0.211-66.102.255.61-35485-443-6,steampoweredgames.go.ro/,cyber attack,10.42.0.151,36149,172.217.9.238,443,2022-09-27T21:00:13,1
172.217.9.234-10.42.0.151-443-39448-6,paypal.com.d6saf46da5s4f.hg6df514g65df4h53dfh.fd1h6thd5341g6wre1g23sdg.h16h3sd1gf6we54gh65s1dfgh6rehg1sdfh16rh13fs1dh65.1h6e1rhgsd54f651gh6we5f1eswd6g553sg.h16wesr1dg3s1d6g5ew1g.sh1we61hg3sd54f6we15g65s1dg.weq6g6sd5g41s.tecsystem.com.mx/,cyber attack,10.42.0.151,54089,104.254.66.16,80,2022-09-27T20:37:47,1
158.85.58.60-10.42.0.151-5222-43013-6,paypal.com.info.e44.fdw.hhey5.gre4h.agtyjt.asgeqf.brtjt.acwgrjt6.sgehrj.shery4e.gjy6k6.sgey34.berhrtkjt.afweh.sey54ui.sgeh.bondessert.com/update/,cyber attack,13.107.254.128,443,10.42.0.211,43537,2022-09-27T20:31:14,1
208.185.50.45-10.42.0.211-443-59979-6,users11.jabry.com/juwoncool/Aol.html,cyber attack,10.42.0.211,47842,98.139.180.180,443,2022-09-27T20:14:33,1
